id,url,nitter_url,description,author_name,author_username,created_at,replies,reposts,quotes,likes,views,hashtags,raw_stats,pictures,score
2061171541216211033,https://x.com/WEB3Seer/status/2061171541216211033,https://nitter.tiekoetter.com/WEB3Seer/status/2061171541216211033#m,32/ Citrea Confirmed airdrop. #Citrea 33/ Renaiss Form for receiving badge closes on June 1. #Renaiss 34/ Merkle Withdrawal of funds. #Merkle 35/ ZERONetwork Withdrawal of funds from the network. RPC is not working. #ZERONetwork,PANKRATION,WEB3Seer,"May 31, 2026 · 7:42 PM UTC",1,0,0,0,76,"Citrea,Renaiss,Merkle,ZERONetwork","[""1"", """", """", ""76""]",,
2061110521055916338,https://x.com/edwordkaru/status/2061110521055916338,https://nitter.tiekoetter.com/edwordkaru/status/2061110521055916338#m,大家的贡献都有被看到 🎉 恭喜呀！ #renaiss,卡神 Karu,edwordkaru,"May 31, 2026 · 3:40 PM UTC",2,0,0,6,541,renaiss,"[""2"", """", ""6"", ""541""]",https://nitter.tiekoetter.com/pic/media%2FHJpbCpvaoAA3x-y.jpg%3Fname%3Dsmall%26format%3Dwebp,
2061086713263566947,https://x.com/nununana0706/status/2061086713263566947,https://nitter.tiekoetter.com/nununana0706/status/2061086713263566947#m,Renaiss의 KCCF 2026 참가 소식이 반갑네요. 시장이 어떤 방향으로 가든 결국 중요한 건 실제 제품과 사용자 가치. KCCF 2026에서는 그런 빌더들과 프로젝트들을 한자리에서 볼 수 있을 것 같습니다. Looking forward to the conversations and ideas that emerge from it. #Renaiss #KCCF2026,nununana 🌊RIVER 🐬TermMax,nununana0706,"May 31, 2026 · 2:05 PM UTC",0,0,0,1,117,"Renaiss,KCCF2026","["""", """", ""1"", ""117""]","https://nitter.tiekoetter.com/pic/media%2FHJpzbsKaQAA9qDq.png%3Fname%3Dsmall%26format%3Dwebp,https://nitter.tiekoetter.com/pic/media%2FHJkR6Tja0AAZQha.jpg%3Fname%3Dsmall%26format%3Dwebp",
2061070728955662810,https://x.com/innerpeace300/status/2061070728955662810,https://nitter.tiekoetter.com/innerpeace300/status/2061070728955662810#m,[Renaiss x KCCF 메인부스 참가 및 이벤트 안내] @renaissxyz #Renaiss 국내 최대 카드쇼 KccF에 Renaiss가 메인 부스로 참가합니다! 📅 일시 : 2026년 6월 6일(토) ~ 6월 7일(일) 📍 장소 : 양재 AT센터 이번 행사에서는 🎮 Vinci World Beta 체험 🎟 특별 미니게임 & Vinci Gacha 🎁 KccF 참가 한정 SBT 🃏 다양한 현장 이벤트와 보상 까지 준비되어 있다고 합니다. TCG와 Web3에 관심이 있다면 직접 체험하고 즐길 수 있는 좋은 기회가 될 것 같네요. 저도 현장에 방문해서 Renaiss가 준비한 다양한 콘텐츠를 경험해볼 예정입니다!,"vita5000 | 𝔽rAI (❖,❖)",innerpeace300,"May 31, 2026 · 1:02 PM UTC",2,0,0,19,1268,Renaiss,"[""2"", """", ""19"", ""1,268""]","https://nitter.tiekoetter.com/pic/media%2FHJpkyIGbAAARuvH.png%3Fname%3Dsmall%26format%3Dwebp,https://nitter.tiekoetter.com/pic/media%2FHJkR6Tja0AAZQha.jpg%3Fname%3Dsmall%26format%3Dwebp",
2061070169951351129,https://x.com/w22py/status/2061070169951351129,https://nitter.tiekoetter.com/w22py/status/2061070169951351129#m,"이번 주말(6/6~6/7)에 열리는 국내 최대 카드쇼 KccF에 Renaiss가 메인 부스로 참가한다고 합니다! 👀 가서 가볍게 즐길 수 있는 이벤트도 많고, 특히 Web3 유저들이나 기존 커뮤니티 분들을 위한 특별 혜택도 쏠쏠하게 준비되어 있대요. @renaissxyz #renaiss 루마링크 👉 luma.com/8s2f613x?tk=roGybu","weepy(❖,❖)",w22py,"May 31, 2026 · 12:59 PM UTC",6,0,0,8,556,renaiss,"[""6"", """", ""8"", ""556""]",https://nitter.tiekoetter.com/pic/media%2FHJkR6Tja0AAZQha.jpg%3Fname%3Dsmall%26format%3Dwebp,
2061060768368648648,https://x.com/HarryCheoh/status/2061060768368648648,https://nitter.tiekoetter.com/HarryCheoh/status/2061060768368648648#m,之前在 @renaissxyz 有看到这张，也超想要买的，奈何没人要卖，也貌似已经被提领了。 但也好在这个月加入renaiss后有赚到一些钱，让我能在web2拿下这张那么好看的超梦与梦幻TT， 虽然只是英文版，但也已满足 x) #renaiss,HarryC,HarryCheoh,"May 31, 2026 · 12:22 PM UTC",11,0,0,19,1172,renaiss,"[""11"", """", ""19"", ""1,172""]",https://nitter.tiekoetter.com/pic/media%2FHJpb2ILbUAAhIbP.jpg%3Fname%3Dsmall%26format%3Dwebp,
2061060320811270231,https://x.com/Mark_Memelord/status/2061060320811270231,https://nitter.tiekoetter.com/Mark_Memelord/status/2061060320811270231#m,我要努力加油 下一批一定要拿到🫶🏻 #renaiss,Mark,Mark_Memelord,"May 31, 2026 · 12:20 PM UTC",0,0,0,7,320,renaiss,"["""", """", ""7"", ""320""]",https://nitter.tiekoetter.com/pic/media%2FHJpaN6QboAAnlpt.jpg%3Fname%3Dsmall%26format%3Dwebp,
2060942149395591432,https://x.com/nopzty/status/2060942149395591432,https://nitter.tiekoetter.com/nopzty/status/2060942149395591432#m,Rm มางานcard ต้องได้card😁😆 #Renaiss @renaissxyz @Renaiss_TH,Nemo,nopzty,"May 31, 2026 · 4:31 AM UTC",3,1,0,15,719,Renaiss,"[""3"", ""1"", ""15"", ""719""]","https://nitter.tiekoetter.com/pic/media%2FHJnv9QmbMAAC6v6.jpg%3Fname%3Dsmall%26format%3Dwebp,https://nitter.tiekoetter.com/pic/media%2FHJnv9QeaMAA9a1X.jpg%3Fname%3Dsmall%26format%3Dwebp",
2060911838456643949,https://x.com/Mark_Memelord/status/2060911838456643949,https://nitter.tiekoetter.com/Mark_Memelord/status/2060911838456643949#m,忘了公布我是用什么来拍之前的开卡包视频🤣 答案就是 @renaissxyz 的卡盒✌🏻 没有手机支架又如何？我有 #renaiss 周边🤣🤣,Mark,Mark_Memelord,"May 31, 2026 · 2:30 AM UTC",2,0,0,17,868,renaiss,"[""2"", """", ""17"", ""868""]",https://nitter.tiekoetter.com/pic/media%2FHJnUVrjbEAAsa3u.jpg%3Fname%3Dsmall%26format%3Dwebp,
2060894613351825851,https://x.com/davidcheang99/status/2060894613351825851,https://nitter.tiekoetter.com/davidcheang99/status/2060894613351825851#m,"To get the Van Gogh Pikachu and SBT, I’m planning to do one pull a day until I reach 40 tickets or the event ends ！ 为了获得梵高皮及 SBT ,打算一天一抽直到累积 40票 或活动结束😍🫰 #renaiss #bnbchain #tcg Day 15 36 ticket count Explore here 💫 renaiss.xyz/ref/unstoppable",DDavid.Renaiss,davidcheang99,"May 31, 2026 · 1:22 AM UTC",0,0,0,2,484,"renaiss,bnbchain,tcg","["""", """", ""2"", ""484""]",,
2060762052868919328,https://x.com/minis_lee/status/2060762052868919328,https://nitter.tiekoetter.com/minis_lee/status/2060762052868919328#m,#Renaiss 가 이번 #KccF 에 메인부스로 참가한대요! ​방문객들을 위해 정말 다양하고 풍성한 이벤트를 열심히 준비했다고 합니다 ​지금 이 소식을 공유하고 현장에서 체크인하면 무려 '카드팩'을 지급해 주는 대박 미션까지 진 ​다들 Renaiss 메인부스 꼭 방문하시고 GeT ​#Renaiss #KccF @renaissxyz,Minis 🟠 NFTARMY LINGO,minis_lee,"May 30, 2026 · 4:35 PM UTC",0,0,0,2,81,"Renaiss,KccF","["""", """", ""2"", ""81""]",https://nitter.tiekoetter.com/pic/media%2FHJlMKefboAABk97.jpg%3Fname%3Dsmall%26format%3Dwebp,
2060734546799456432,https://x.com/goldenpark77777/status/2060734546799456432,https://nitter.tiekoetter.com/goldenpark77777/status/2060734546799456432#m,"What if you could pull real Pokémon cards on chain? @renaissxyz connects physically graded collectibles to a blockchain-based gacha fairness guaranteed by Merkle proofs, every pull verifiable on chain Open beta is live now renaiss.xyz #Renaiss #Web3",Golden,goldenpark77777,"May 30, 2026 · 2:46 PM UTC",0,0,0,2,118,"Renaiss,Web3","["""", """", ""2"", ""118""]","https://nitter.tiekoetter.com/pic/media%2FHJkzDaZa8AEa5jX.jpg%3Fname%3Dsmall%26format%3Dwebp,https://nitter.tiekoetter.com/pic/media%2FHJkzDacbkAAjrpv.jpg%3Fname%3Dsmall%26format%3Dwebp",
2060733177573048793,https://x.com/gohwea5445/status/2060733177573048793,https://nitter.tiekoetter.com/gohwea5445/status/2060733177573048793#m,⭐️Renaiss x KccF 오프라인 행사 안내 Renaiss가 국내 최대 카드쇼 KccF에 메인 부스로 참가합니다! 이번 행사에 Renaiss 커뮤니티 분들과 Web3 유저 여러분들을 초대합니다. #renaiss #KccF #카드쇼 #행사,gohwea l Solstice✨,gohwea5445,"May 30, 2026 · 2:40 PM UTC",0,0,0,1,117,"renaiss,KccF,카드쇼,행사","["""", """", ""1"", ""117""]",https://nitter.tiekoetter.com/pic/media%2FHJkxKoSbkAAZFQr.jpg%3Fname%3Dsmall%26format%3Dwebp,
2060718941715169358,https://x.com/blackshark0x/status/2060718941715169358,https://nitter.tiekoetter.com/blackshark0x/status/2060718941715169358#m,"Imagine, having your own card on @renaissxyz #Renaiss",BlackShark .base,blackshark0x,"May 30, 2026 · 1:44 PM UTC",0,0,0,5,553,Renaiss,"["""", """", ""5"", ""553""]","https://nitter.tiekoetter.com/pic/media%2FHJkkXr3bsAAUSyI.png%3Fname%3Dsmall%26format%3Dwebp,https://nitter.tiekoetter.com/pic/media%2FHJhFAIMbIAA3iv6.jpg%3Fname%3Dsmall%26format%3Dwebp",
