author_username,baseline_index,created_at,url,nitter_url,replies,reposts,quotes,likes,views,weighted_engagement,description
0x1001,1,"Mar 2, 2026 · 11:06 PM UTC",https://x.com/0x1001/status/2028607901460541545,https://nitter.tiekoetter.com/0x1001/status/2028607901460541545#m,0,0,0,2,27,2,我也在吧台蹲很久😆 很開心見到面！
0x1001,2,"Mar 2, 2026 · 5:50 PM UTC",https://x.com/0x1001/status/2028528268362805258,https://nitter.tiekoetter.com/0x1001/status/2028528268362805258#m,1,0,0,2,230,3,"【日報】ポケカ・ワンピカまとめ 3/2 🔹 ポケカ：151看板銘柄の「定着」 • リザードンex (SAR/151)：62,000円 （新作『ウインド・ウェーブ』でのリザードン内定が噂され、週明けから買い注文が殺到。6万円台を完全に固める動きです。） • ミュウex (SAR/151)：41,500円 （週末のピーク（4.5万円）から調整が入りましたが、4万円の大台は死守。30周年のアイコンとして、ここが新たな「底値」となる気配です。） 🔸 ワンピカ：EB-03 女王の「長期政権」 • ボア・ハンコック (リーダーパラレル/EB-03)：258,000円 （週末の最高値から若干落ち着いたものの、25万円を割る気配は皆無。供給が完全に止まったことで、市場は「30万円待ち」のフェーズへ。） • ナミ (リーダーパラレル/OP-01)：175,000円 （ハンコックの独走が「旧枠リーダー」への安心感に繋がり、元祖女王ナミが再び高騰。半年ぶりの最高値を更新し続けています。） #ポケカ #ワンピカ #トレカ情報 #ポケカ情報"
0x1001,3,"Mar 2, 2026 · 4:21 AM UTC",https://x.com/0x1001/status/2028324866232135714,https://nitter.tiekoetter.com/0x1001/status/2028324866232135714#m,1,0,0,3,38,4,你有沒有跟老闆握手轉運一下
0x1001,4,"Mar 2, 2026 · 3:15 AM UTC",https://x.com/0x1001/status/2028308196809654651,https://nitter.tiekoetter.com/0x1001/status/2028308196809654651#m,0,0,0,2,48,2,我也愛逛AEON 特別是晚上打折貼標時😆
0x1001,5,"Mar 1, 2026 · 9:40 AM UTC",https://x.com/0x1001/status/2028042755247862068,https://nitter.tiekoetter.com/0x1001/status/2028042755247862068#m,1,0,0,2,78,3,還有台幣兩百萬刮刮樂！
0x1001,6,"Feb 27, 2026 · 5:07 PM UTC",https://x.com/0x1001/status/2027430456166388158,https://nitter.tiekoetter.com/0x1001/status/2027430456166388158#m,2,0,0,3,269,5,"【日報】ポケカ・ワンピカまとめ 2/27 🔹 ポケカ • ミュウex (SAR/151)：45,000円 （「Pokémon Sleep」でのミュウミッション開始や新作への期待から、151の顔であるミュウに資金が集中。4万円台を確固たるものにしました。） • メガゲンガーex (MA/M2a)：74,800円 （FRLG配信決定により、メガシンカを想起させる高レアリティカードが再注目。過去作へのリスペクトが価格を押し上げています。） 🔸 ワンピカ • ボア・ハンコック (リーダーパラレル/EB-03)：265,000円 （ポケカの狂乱の中でも、ワンピカの女王は揺るぎません。供給不足が深刻化し、ついに26万円台へ突入。今週の最高値を更新しました。） • ウタ (コミパラ/EB-03)：135,000円 （週末の対戦需要とコレクション需要が重なり、力強い推移を見せています。13万円以下での美品確保は極めて困難な状況です。） #ポケカ #ワンピカ #トレカ情報 #ポケカ情報"
0x1001,7,"Feb 27, 2026 · 11:34 AM UTC",https://x.com/0x1001/status/2027346698222313608,https://nitter.tiekoetter.com/0x1001/status/2027346698222313608#m,1,0,0,4,86,5,沒抽到的人要感謝我 幫他們抽走C👀
0x1001,8,"Feb 27, 2026 · 11:20 AM UTC",https://x.com/0x1001/status/2027343050700452268,https://nitter.tiekoetter.com/0x1001/status/2027343050700452268#m,1,0,0,2,58,3,我又來給你溫暖了
0x1001,9,"Feb 26, 2026 · 2:53 PM UTC",https://x.com/0x1001/status/2027034182694891631,https://nitter.tiekoetter.com/0x1001/status/2027034182694891631#m,1,0,0,3,512,4,"【日報】ポケカ・ワンピカまとめ 2/26 🔹 ポケカ：伝説の帰還とテラスタルの輝き • ルギアV (SA/パラダイムトリガー)：115,000円 （FRLG配信決定後の「リメイク期待」がジョウト地方へ完全に波及。発表直前の「駆け込み需要」により、昨日からさらに5,000円値を上げています。） • ブラッキーex (SAR/テラスタルフェスex)：42,000円 （30周年前夜の混乱の中、最新弾のトップレアが「安定資産」として再評価。ブイズ人気の根強さが、荒れ相場の支えとなっています。） 🔸 ワンピカ • ボア・ハンコック (リーダーパラレル/EB-03)：258,000円 （発売1週間で、ついに25万円台を突き抜けました。在庫枯渇による「売り手市場」が極まっており、30万円の大台さえ現実味を帯びています。） • ウタ (コミパラ/EB-03)：130,000円 （ハンコックに次ぐ「もう一つの頂点」。コレクターの間で「今買わないと一生買えない」という焦燥感が広がり、じわじわと高値を更新中です。） #ポケカ #ワンピカ #トレカ情報 #ポケカ情報"
0x1001,10,"Feb 25, 2026 · 11:46 AM UTC",https://x.com/0x1001/status/2026624726370758899,https://nitter.tiekoetter.com/0x1001/status/2026624726370758899#m,1,0,0,2,63,3,核心團隊👀
